px [m],py [m],Carrier launch angle [deg],Time [s]
4041.07,165.309,10,5.82
5040.5,250.195,12,7.82
3139.06,412.335,14,4.32
6089.35,300.083,14,10.32
2104.4,391.629,16,2.82
7128.81,273.834,16,13.32
6033.92,958.034,20,10.32
8106.44,422.804,20,16.82
7076.52,1051.07,22,13.32
9074.84,97.7306,22,21.32
3014.77,966.825,24,4.32
5110.76,1356.32,24,8.32
8070.09,1019.42,24,16.82
2030.64,771.924,26,2.84
4096.45,1368.99,26,6.32
6039.59,1854.59,28,10.82
9029.29,1107.97,28,21.32
1216.61,583.338,30,1.82
7032.71,2093.44,30,13.82
8063.92,1890.7,30,17.32
3128.21,1514.94,32,4.82
5081.28,2157.2,32,8.82
9035.21,1744.84,32,21.82
4097.41,2054.12,34,6.82
5116.86,2603.82,36,9.32
6077.7,2829.76,36,11.82
7084.99,2907.66,36,14.82
8082.04,2769.34,36,18.32
4163.07,2462.3,38,7.32
9089.8,2679.3,38,23.32
7153.14,3481.09,40,15.82
6077.96,3632.86,42,12.83
8099.51,3672.15,42,19.82
1028.36,871.782,44,1.82
9090.74,3654.76,44,25.32
3097.69,2625.3,46,5.82
5083.86,3834.76,46,10.82
2060.64,1958.13,48,3.82
7085.2,4705.5,48,17.82
8075.22,4628.04,48,21.83
4065.65,3782.74,50,8.82
6038.73,4825.87,50,14.82
9074.45,4644.63,50,28.32
5080.87,4724.52,52,12.32
7313.19,5358.88,52,20.32
8354.09,5239.2,52,25.32
6182.16,5545.06,54,16.82
3084.75,3753.69,56,7.32
4074.28,4674.86,56,10.32
5260.16,5504.61,56,14.32
9053.53,5687.29,56,29.82
2047.93,2818.4,58,4.82
6319.78,6299.85,58,19.32
8300.73,6292.48,58,29.82
7198.83,6416.53,58,23.32
2288.15,3366.15,60,5.82
4244.99,5530.23,60,12.32
5309.24,6289.1,60,16.33
9108.88,6555.63,60,29.62
3060.1,4663.5,62,8.82
3478.28,5155.17,62,10.32
7430.91,7178.31,62,28.32
6581.81,7121.17,62,23.32
431.055,805.3,64,1.32
1025.7,1876.3,64,2.82
4257.2,6368.81,64,14.32
9083.01,7601.29,64,29.95
8128.33,7517.48,64,29.72
2287.68,4301.82,66,7.32
8322.21,8269.83,66,29.62
5193.81,7495.05,66,19.82
9186.77,8419.24,66,29.83
1467.54,3164.96,68,4.82
3367.49,6346.5,68,12.82
4320.83,7379.08,68,17.32
9168.49,9454.88,68,29.84
5579.72,8142.49,68,23.82
6293.0,8326.14,68,28.32
7176.51,8439.48,68,29.58
1083.19,2633.13,70,3.82
2372.88,5312.47,70,9.32
7420.21,9189.36,70,30.0
4582.76,8092.16,70,20.34
8133.28,9504.29,70,29.62
2531.43,6148.51,72,11.32
3263.39,7328.27,72,15.32
6259.47,9334.97,72,29.62
5584.54,9093.2,72,29.83
2683.18,7065.91,74,13.82
3431.33,8190.41,74,18.33
4490.02,9170.71,74,25.32
581.341,2094.37,76,2.84
1300.06,4442.63,76,6.82
1541.32,5150.3,76,8.32
2813.48,8024.57,76,16.83
3612.81,9079.12,76,22.33
306.569,1312.96,78,1.82
1603.1,6088.94,78,10.34
819.177,4020.03,80,5.83
1615.17,7089.4,80,12.84
1930.4,8004.21,80,15.82
2459.82,9159.0,80,20.37
500.119,3141.71,82,4.32
1869.52,9020.02,82,19.32
638.117,5109.64,84,7.82
777.67,6037.56,84,9.83
941.802,7015.84,84,12.32
763.499,8087.39,86,15.32
924.026,9085.94,86,18.82
34.9041,913.38,88,1.32
51.8527,1348.1,88,1.82
83.3338,2140.66,88,2.82
126.151,3181.85,88,4.32
165.376,4091.26,88,5.82
214.107,5151.7,88,7.82
260.366,6078.27,88,9.82
316.516,7089.09,88,12.32
383.663,8128.16,88,15.32
464.802,9143.47,88,18.82
